Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
18/08/2024 23:00:00,18/08/2024,"Temperature, Forecast, D",14.8366,19/08/2024 08:30:00,
17/08/2024 23:00:00,17/08/2024,"Temperature, Forecast, D",14.7847,18/08/2024 08:30:00,
16/08/2024 23:00:00,16/08/2024,"Temperature, Forecast, D",14.9225,17/08/2024 08:30:00,
15/08/2024 23:00:00,15/08/2024,"Temperature, Forecast, D",14.9881,16/08/2024 08:30:00,
14/08/2024 23:00:00,14/08/2024,"Temperature, Forecast, D",15.1229,15/08/2024 08:30:00,
13/08/2024 23:00:00,13/08/2024,"Temperature, Forecast, D",15.1567,14/08/2024 08:30:00,
12/08/2024 23:00:00,12/08/2024,"Temperature, Forecast, D",15.2001,13/08/2024 08:30:00,
11/08/2024 23:00:00,11/08/2024,"Temperature, Forecast, D",15.201,12/08/2024 08:30:00,
10/08/2024 23:00:00,10/08/2024,"Temperature, Forecast, D",15.1354,11/08/2024 08:30:00,
09/08/2024 23:00:00,09/08/2024,"Temperature, Forecast, D",15.1268,10/08/2024 08:30:00,
08/08/2024 23:00:00,08/08/2024,"Temperature, Forecast, D",14.994,09/08/2024 08:30:00,
07/08/2024 23:00:00,07/08/2024,"Temperature, Forecast, D",14.9861,08/08/2024 08:30:00,
06/08/2024 23:00:00,06/08/2024,"Temperature, Forecast, D",15.1535,07/08/2024 08:30:00,
05/08/2024 23:00:00,05/08/2024,"Temperature, Forecast, D",15.1537,06/08/2024 08:30:00,
04/08/2024 23:00:00,04/08/2024,"Temperature, Forecast, D",15.0517,05/08/2024 08:30:00,
03/08/2024 23:00:00,03/08/2024,"Temperature, Forecast, D",15.1519,04/08/2024 08:30:00,
02/08/2024 23:00:00,02/08/2024,"Temperature, Forecast, D",15.1893,03/08/2024 08:30:00,
01/08/2024 23:00:00,01/08/2024,"Temperature, Forecast, D",15.2019,02/08/2024 08:30:00,
31/07/2024 23:00:00,31/07/2024,"Temperature, Forecast, D",15.1785,01/08/2024 08:30:00,
30/07/2024 23:00:00,30/07/2024,"Temperature, Forecast, D",15.1812,31/07/2024 08:30:00,
29/07/2024 23:00:00,29/07/2024,"Temperature, Forecast, D",15.1974,30/07/2024 08:30:00,
28/07/2024 23:00:00,28/07/2024,"Temperature, Forecast, D",15.1463,29/07/2024 08:30:00,
27/07/2024 23:00:00,27/07/2024,"Temperature, Forecast, D",14.9167,28/07/2024 08:30:00,
26/07/2024 23:00:00,26/07/2024,"Temperature, Forecast, D",15.0237,27/07/2024 08:30:00,
25/07/2024 23:00:00,25/07/2024,"Temperature, Forecast, D",15.0216,26/07/2024 08:30:00,
24/07/2024 23:00:00,24/07/2024,"Temperature, Forecast, D",15.0832,25/07/2024 08:30:00,
23/07/2024 23:00:00,23/07/2024,"Temperature, Forecast, D",15.1638,24/07/2024 08:30:00,
22/07/2024 23:00:00,22/07/2024,"Temperature, Forecast, D",15.1318,23/07/2024 08:30:00,
21/07/2024 23:00:00,21/07/2024,"Temperature, Forecast, D",15.1093,22/07/2024 08:30:00,
20/07/2024 23:00:00,20/07/2024,"Temperature, Forecast, D",15.1583,21/07/2024 08:30:00,
19/07/2024 23:00:00,19/07/2024,"Temperature, Forecast, D",15.2001,20/07/2024 08:30:00,
18/07/2024 23:00:00,18/07/2024,"Temperature, Forecast, D",15.1551,19/07/2024 08:30:00,
17/07/2024 23:00:00,17/07/2024,"Temperature, Forecast, D",14.9973,18/07/2024 08:30:00,
16/07/2024 23:00:00,16/07/2024,"Temperature, Forecast, D",14.599,17/07/2024 08:30:00,
15/07/2024 23:00:00,15/07/2024,"Temperature, Forecast, D",14.5532,16/07/2024 08:30:00,
14/07/2024 23:00:00,14/07/2024,"Temperature, Forecast, D",14.4015,15/07/2024 08:30:00,
